Naam,ID,Website,Ultimate klant,Asana_ID,Duits SEO,Wie,Land,Provincie,Toeristische Regio,latitude,longitude,Plaats,Primaire doelgroep,Omgeving,Aantal sterren,Kampeerplekken,Camperplaats,Vakantiehuizen,Chalets/stacaravans,Groepsacco's,Bijzondere acco's,Glamping,Appartementen,Events (als overnachtingslocatie),Faciliteiten,Zwemmogelijkheden,Binnenzwembad,Buitenzwembad,Zwemvijver/-meer,Buitenspeeltuin,Indoorspeeltuin,Restaurant,Bar,Supermarkt,Snackbar,Bowling,Fietsverhuur,Wellness op het park,Wellness bij accommodatie,Laadpaal,Mindervalide woningen,Kampeerplek met privé sanitair,Vismogelijkheden,Watersport,Padel,Tennis,Multicourt,Voetbalveld,Minigolf,Golf,Bootverhuur,Jachthaven,Duurzaamheid,Christelijk,Vuurwerkvrij,Animatie,Huisdier toegestaan,Kindvriendelijk,In / bij het bos,Aan zee,Aan het water (excl zee),BBQ op het park/bij woning,Accommodatie Types,pets_allowed_at_accommodation,bbq_at_accommodation,sauna_at_accommodation,jacuzzi_at_accommodation
EuroParcs Bad Hoophuizen,2398,https://www.europarcsbadhoophuizen.nl/,EP,1210207742416407,x,,Nederland,Gelderland,Veluwemeer,"52,3837534","5,7063474",,,"Dolfinarium, Apenheul, Walibi Holland, Tickets met korting, Dierenpark Amersfoort, Veluwemeer, Wandelen en fietsen Ermelo, Elburg, Golfbaan Rijk van Nunspeet, Sauna Drôme, Indoor zandsculpturen tentoonstelling, Harderwijk, Het Verscholen Dorp, Vierhouten, Batavia Stad Fashion Outlet, Nunspeet, Nijkerk",,Nee,Ja,Ja,,,,Nee,,,"Binnenzwembad & Wellnesscentrum, Adventure Minigolf, Restaurant, Sportveld, Kidsclub en Chillzone, Bootverhuur, Snackbar, Animatieactiviteiten, Strand- en natuurmeer, Jachthaven, Watersport centrum, Boek jouw vakantie met de hond!, Foot Pool, Vissen, Minimarket, Wasserette, Escape Box ''Pyramid"", Speeltuinen, Foodboxen, E-chopper verhuur, Fietsverhuur",Nee,,,,,,Ja,,,,,Ja,"Ja, sauna",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"31.7% Chalet (20), 25.4% Loge (16), 12.7% Active Owner Accommodaties (8), 6.3% Grote accommodatie (4), 6.3% Tiny house (4), 4.8% Ligplaatsen (3), 3.2% Groepsaccommodatie (2), 3.2% Vakantiehuis (2), 3.2% Wellness suite (2), 1.6% Bijzondere accommodatie (1), 1.6% Kampeerplaats (1)","41.3% all (26), 38.1% some (24), 20.6% none (13)",0% (0),1.6% (1),0% (0)
EuroParcs Bad Hulckesteijn,2507,https://www.europarcsbadhulckesteijn.nl/,EP,1210204263333171,x,,Nederland,Gelderland,,"52,2569793","5,4668969",,,"Zandsculpturen Garderen, Dierenpark Amersfoort, Walibi Holland, Tickets met korting, Dolfinarium, Bootverhuur, Harderwijk, Nijkerk, Kitesurfen en wakeboarden, Amersfoort, Batavia Stad Fashion Outlet, Speulder- en Sprielderbos, Vierhouten, Wandelen en fietsen Ermelo, Het Verscholen Dorp, Batavialand, Jachthaven, Sauna Drôme, Utrecht, Nijntje Museum, Spoorwegmuseum Utrecht",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Wellnessruimte, Restaurant, Fietsverhuur, Animatie, Bootverhuur, Speeltuinen, Foodboxen, E-chopper verhuur, Minimarkt, Spelletjeskast, Vissen, Jeu de Boules, Wasserette, Fitnessruimte, Escape Box ''Pyramid'', Hond mee op vakantie?, Vuurwerkvrij",Nee,,,,,,Ja,,,,,Ja,Nee,,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"43.2% Chalet (16), 27% Loge (10), 10.8% Grote accommodatie (4), 8.1% Tiny house (3), 2.7% Groepsaccommodatie (1), 2.7% Hotel-Studio (1), 2.7% Vakantiehuis (1), 2.7% Active Owner Accommodaties (1)","37.8% some (14), 35.1% all (13), 27% none (10)",0% (0),0% (0),0% (0)
EuroParcs Bad Meersee,2508,https://www.europarcsbadmeersee.nl/,EP,"1,21021E+15",x,,Nederland,Zeeland,,"51,3747577","3,4507553",,,"Deltapark Neeltje Jans, Maritiem Muzeeum Zeeland, Tickets met korting, Fiets- en wandelroutes Breskens, Sluis, Brugge, Strand van Nieuwvliet, Vlissingen, Gastvrij Zeeuws Vlaanderen, Breskens, Rondvaart Westerschelde, Knokke-Heist, Natuurpark Het Zwin, Golfclub De Brugse Vaart",,Nee,,Ja,,,,Nee,,,"Fietsverhuur, Restaurant, Snackbar, E-chopperverhuur, Foodboxen, Bowlingcentrum, Parkshop, Wasserette, Oplaadpunt elektrische auto, Vuurwerkvrij, Overdekt zwembad",Nee,,,,,,Ja,,,,,Ja,Nee,,Ja,,,,,,,,,,,,,,,,,Ja,Nee,,,,Nee,"75% Loge (9), 25% Chalet (3)","66.7% all (8), 25% some (3), 8.3% none (1)",0% (0),0% (0),0% (0)
EuroParcs Beekbergen,2509,https://www.europarcsbeekbergen.nl/,EP,1210204263333066,x,,Nederland,Gelderland,Veluwe,"52,1370369","6,0024445",,,"Burgers' Zoo, Apenheul, Nationaal Park De Hoge Veluwe, Tickets met korting, Kinderpretpark Julianatoren, Paleis Het Loo, Loenense Waterval, Posbank, Kootwijkerzand, Veluwsche stoomtrein, Arnhem, Padellen Apeldoorn, Openluchtmuseum Arnhem, 8 Kastelenroute, Kasteel Vorden, Bronkhorst",,Nee,,Ja,,,,Nee,,,"Animatieactiviteiten, Binnenzwembad, Restaurant, Fietsverhuur, Snackbar, Kids Safari, Sjoelbak huren, Broodjesservice, Bean bag game, E-chopper verhuur, Escape Box ''Pyramid'', Fitness- en wellnessruimte, Pizza kiosk, Parkshop, Speeltuinen, Bereikbaarheid openbaar vervoer, Sport, Wasserette, Foodboxen",Nee,,,,,,Ja,,,,,,"Ja, sauna en hottub",,Nee,Ja,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"58.2% Loge (46), 19% Chalet (15), 7.6% Grote accommodatie (6), 6.3% Vakantiehuis (5), 3.8% Groepsaccommodatie (3), 3.8% Tiny house (3), 1.3% Active Owner Accommodaties (1)","57% all (45), 30.4% some (24), 12.7% none (10)",0% (0),6.3% (5),5.1% (4)
EuroParcs Biggesee,2510,https://www.europarcsbiggesee.de/nl,EP,"1,21021E+15",x,,Duitsland,Noordrijn-Westfalen ,,"51,110895","7,9024029",,,"Musea in Sauerland, Krombacher World, Fietsroutes Biggesee, Kasteel Schnellenberg, Watersport Biggesee, Zwembad Olpe, Waterpark AquaMagis, Klimpark Biggesee, Biggeblick, Biggesee, Apen- en vogelpark Eckenhagen, Attendorn, Wandelroutes Biggesee, Attagrot, Cruise over de Biggesee, Biggolino, Vuurtoren Biggesee",,Ja,Ja,Ja,,,,Ja,,,"Fietsverhuur, Campingwinkel, Strand- en natuurmeer, Sanitair, Strandbar, Wasserette",Nee,,,,,Ja,,Ja,,,,Ja,,,Nee,,Ja,,,,,,,,,,,,,,,Ja,Nee ,,,,Nee,"40% Chalet (4), 30% Kampeerplaats (3), 20% Loge (2), 10% Trekkershut (1)","40% some (4), 40% all (4), 20% none (2)",0% (0),0% (0),0% (0)
EuroParcs Brunssummerheide,2511,https://www.europarcsbrunssummerheide.nl/,EP,1210204263332996,x,,Nederland,Limburg,Zuid-Limburg,"50,9290512","5,9787278",,,"GaiaZoo, Thermae 2000, Plopsa Indoor Hasselt, Tickets met korting, Toverland, Drielandenpunt en Vaalserberg, Nederlands Mijnmuseum Heerlen, Fiets- en wandelroutes, De grotten van Valkenburg, Brunssummerheide, Thermenmuseum, SnowWorld, Golfbaan Brunssummerheide, Kasteel Hoensbroek, Valkenburg, Discovery Museum, Holland Casino, Wielrennen Zuid-Limburg, Mountainbikeroutes, Kasteelpark Born, Stoomtrein 'Miljoenenlijn'",,Nee,,Ja,,,,Nee,,,"Jeu de boules, Fietsverhuur, Vissteiger, Restaurant, Escape Box ''Pyramid'', Hond mee op vakantie?, Bereikbaarheid openbaar vervoer, Foodboxen, Tafeltennistafel, Natuur- en strandbad, Suppen, Oplaadpunt elektrische auto, Speeltuinen, Activiteitenkalender, Snackbar",Nee,,,,,,,,,,,Ja,,"Ja, accommodaties met sauna",Ja,,,,,,,,,,,,,,,,,Ja,Ja,,,,"Ja, barbecue services","56.1% Loge (32), 28.1% Chalet (16), 15.8% Grote accommodatie (9)","56.1% all (32), 40.4% some (23), 3.5% none (2)",0% (0),8.8% (5),0% (0)
EuroParcs Buitenhuizen,2512,https://www.europarcsbuitenhuizen.nl/,EP,1210207795899907,x,,Nederland,Noord-Holland,,"52,4316138","4,7084797",,,"Lovers Canal Cruises, Body Worlds, Artis, Tickets met korting, NEMO Science Museum, Amsterdam, Haarlem, Zaanse Schans, Golfbaan Spaarnwoude, Edam, Recreatiegebied Het Twiske, Tours en tickets Amsterdam, Alkmaar, Tulip Experience, Monkey Town Purmerend, Fort Resort Beemster, Marken, Volendam, Monnickendam, Rijksmuseum, Schermer Molens, Linnaeushof, Volkssterrenwacht Copernicus, Nationaal Park Zuid-Kennemerland, SnowWorld, De Bazaar",,Nee,Ja,Ja,,,,Nee,,,"Fietsverhuur, E-chopper verhuur, Fitnessruimte, Parkshop, Buitenzwembad, Snackbar, Broodjesservice, Escape Box ''Pyramid'', Foodboxen, Hond mee op vakantie?, Speeltuinen, Wasserette, Activiteitenkalender, Bereikbaarheid openbaar vervoer, Vuurwerkvrij",Nee,,,,,,,,,,,Ja,,,Nee,,,,,,,,,,,,,,,,,Ja,Nee,,,,Nee,"52% Chalet (13), 24% Loge (6), 12% Kampeerplaats (3), 4% Hotel-Studio (1), 4% Tiny house (1), 4% Active Owner Accommodaties (1)","52% some (13), 32% all (8), 16% none (4)",0% (0),0% (0),0% (0)
EuroParcs Cadzand-Bad,2513,https://www.europarcscadzandbad.nl/,EP,1210207742416302,x,,Nederland,Zeeland,,"51,3779853","3,3990349",,,"Deltapark Neeltje Jans, Maritiem Muzeeum Zeeland, Tickets met korting, Strand Cadzand-Bad, Shortgolf, Rondvaart Westerschelde, Natuurpark Het Zwin, Kitesurfen, Strand van Nieuwvliet, Breskens, Brugge, Gastvrij Zeeuws Vlaanderen, Fiets- en wandelroutes Breskens, Vlissingen, Sluis, Knokke-Heist, Golfclub De Brugse Vaart, Molen Nooitgedacht, Toversluis, Speel- en bunkerpark Groede, Jachthaven Cadzand-Bad",,Nee,,Ja,,,,Nee,,,"Fietsverhuur, Foodboxen, Escape Box ''Pyramid'', Oplaadpunt elektrische auto, Zwembad",Nee,,,,,,,,,,,Ja,,,Ja,Ja,,,,,,,,,,,,,,,,Ja,Nee,,,,"Ja, barbecue services","50% Grote accommodatie (2), 25% Chalet (1), 25% Vakantiehuis (1)","75% some (3), 25% none (1)",0% (0),0% (0),0% (0)
EuroParcs De Achterhoek,2514,https://www.europarcsdeachterhoek.nl/,EP,1210207742416687,x,,Nederland,Gelderland,Achterhoek,"52,142964","6,3818866",,,"Burgers' Zoo, Apenheul, Paleis Het Loo, Tickets met korting, Nationaal Park De Hoge Veluwe, Kinderpretpark Julianatoren, Cinemajestic, 8 Kastelenroute, Hof van Eckberge, Klimbos Ruurlo, Zutphen, Brouwhoes, De Heikamp, Party & Bowling, Restaurant Boshuis, Speelboerderij Dondertman, Kasteel Vorden, Waterpret, Escaperoom Groenlo, Megapret, Lochemse Bergroute, Museum More, De Waarbeek, Fiets- en wandelroutes, Avonturenpark Hellendoorn, Kaasboerderij Weenink, Wijnroutes en wijnproeven Achterhoek, Brandweermuseum Borculo, Beleefboerderij De Kleine Carrousel",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Animatieactiviteiten, Speeltuinen, Binnenspeeltuin 't Speelkasteel, Jeu de Boules, Fietsverhuur, Restaurant, Vissteiger, Foodboxen, Multifunctioneel sportveld, Escape Box ''Pyramid'', Beach snackbar de Achterhoek, Jenga XL, Klootschieten, Dierenweide, Minigolf, Sjoelen, E-chopper verhuur, Broodjesservice, Self service parkshop, Recreatieplas, Hond mee op vakantie?, Sup verhuur",Ja,Ja,,,,,Ja,,,,,Ja,,"Ja, accommodaties met sauna",Nee,,,,,,,,,,,,,,,,"Ja, in de schoolvakanties",Ja,Ja,,,,"Ja, barbecue services","53.5% Loge (38), 25.4% Chalet (18), 9.9% Grote accommodatie (7), 7% Vakantiehuis (5), 1.4% Groepsaccommodatie (1), 1.4% Tiny house (1), 1.4% Wellness suite (1)","60.6% all (43), 33.8% some (24), 5.6% none (4)",0% (0),5.6% (4),0% (0)
EuroParcs De Biesbosch,2515,https://www.europarcsdebiesbosch.nl/,EP,1210204263333206,x,,Nederland,Zuid-Holland,,"51,7254031","4,6295081",,,"Rondvaartbedrijf Zilvermeeuw, Diergaarde Blijdorp, Euromast, Tickets met korting, De Efteling, Nationaal Park De Biesbosch, Rondvaarten De Biesbosch en Rotterdam, Fiets- en wandelroutes, Dordrecht, Natuurgebieden De Hoeksche Waard, Breda, Werelderfgoed Kinderdijk, Rotterdam, Markthal, Plaswijckpark, Go Kart, Skicentrum Drechtsteden, Klimpark Fun Forest Rotterdam, Glow Golf en Escape Room",,Nee,,Ja,,,,Nee,,,"Binnenzwembad, Restaurant, Fietsverhuur, Jachthaven, Parkshop, Foodboxen, Boot huren, E-chopper verhuur, Snackbar, Vissen vanaf de boot, Speeltuin, Broodjesservice, Multifunctioneel sportveld, Escape Box ''Pyramid'', Buitenzwembad, Binnenspeeltuin, Wasserette, Schoonheidssalon, Hond mee op vakantie?, Animatie",Nee,,,,,,Ja,,,,,Ja,"Ja, Sauna en Hottub ",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"35.4% Chalet (23), 33.8% Loge (22), 20% Ligplaatsen (13), 4.6% Groepsaccommodatie (3), 4.6% Tiny house (3), 1.5% Active Owner Accommodaties (1)","56.9% all (37), 30.8% some (20), 12.3% none (8)",0% (0),4.6% (3),3.1% (2)
